accession	description	scientific_name	base_count	last_updated
X57369	Drosophila yakuba (individual e) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
KM016466	Drosophila simulans isolate KY03 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	476	2014-09-24
X57373	Drosophila yakuba (individual i) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
AB154542	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh01.	Drosophila kikkawai	683	2005-04-14
AB154550	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh09.	Drosophila kikkawai	686	2005-04-14
AB154556	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh15.	Drosophila kikkawai	686	2005-04-14
JX455218	Drosophila simulans isolate HW49 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KX976502	Drosophila yakuba isolate Yakuba_Anton_2_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AF201430	Drosophila simulans isolate HW00 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF284475	Drosophila mauritiana strain 152 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	701	2006-11-14
AF284479	Drosophila mauritiana strain Lig74 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	703	2006-11-14
X78917	D.melanogaster Adh gene (fn46 mutant) for alcohol dehydrogenase (partial)	Drosophila melanogaster	96	2008-10-23
AB154560	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh19.	Drosophila kikkawai	683	2005-04-14
JX455217	Drosophila simulans isolate HW48 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KX375415	Drosophila biarmipes strain IND_DBR_U4 alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila biarmipes	1022	2017-01-03
KX976498	Drosophila yakuba isolate Yakuba_SanTome_city alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976517	Drosophila yakuba isolate Yakuba_3_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
M22210	D.melanogaster thermostable FAST alcohol dehydrogenase allele gene, complete cds.	Drosophila melanogaster	2075	2006-11-14
JX455214	Drosophila simulans isolate HW05 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KX976487	Drosophila yakuba isolate Yakuba_SJ_1 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976488	Drosophila yakuba isolate Yakuba_SJ4 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976516	Drosophila yakuba isolate Yakuba_1_6 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976507	Drosophila yakuba isolate Yakuba_BAR_1000_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB669832	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: OKNH2K.	Drosophila neoasahinai	837	2014-01-02
AB669866	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: SWB196.	Drosophila leontia	832	2014-01-02
AF175219	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k37 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF459757	Drosophila greeni alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila greeni	290	2006-11-14
KJ767238	Drosophila melanogaster strain Canton S alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanogaster	872	2014-10-29
AB669851	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: F76.	Drosophila jambulina	831	2014-01-02
AF459776	Drosophila tsacasi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila tsacasi	290	2006-11-14
AF459777	Drosophila baimaii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila baimaii	290	2006-11-14
AB669826	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A662.	Drosophila auraria	843	2014-01-02
AB669831	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: KMJM37.	Drosophila neoasahinai	838	2014-01-02
AB669836	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KT4.	Drosophila subauraria	842	2014-01-02
AB669837	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: ONM29.	Drosophila subauraria	842	2014-01-02
AB669856	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: SWB248.	Drosophila watanabei	826	2014-01-02
AB669869	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN3.	Drosophila ogumai	837	2014-01-02
AB669871	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY309.	Drosophila ohnishii	844	2014-01-02
AB669879	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: Q122.	Drosophila serrata	839	2014-01-02
AF175214	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h21 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF201424	Drosophila melanogaster isolate Zimbabwe 53 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila melanogaster	494	2006-11-14
AF459755	Drosophila varians alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila varians	290	2006-11-14
AF459773	Drosophila quadraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila quadraria	290	2006-11-14
AF459778	Drosophila biauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila biauraria	290	2006-11-14
AF459782	Drosophila parvula alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila parvula	290	2006-11-14
AM181670	Drosophila gunungcola partial adh gene for alcohol dehydrogenase, exons 1-3	Drosophila gunungcola	628	2006-11-14
AF459769	Drosophila barbarae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila barbarae	290	2006-11-14
AF459770	Drosophila birchii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila birchii	290	2006-11-14
AB669846	Drosophila seguyi Adh gene for alcohol dehydrogenase, partial cds, strain: K59.	Drosophila seguyi	835	2014-01-02
AB669854	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: NHO122.	Drosophila punjabiensis	836	2014-01-02
AF459779	Drosophila kanapiae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila kanapiae	290	2006-11-14
AB669860	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: IR2-37.	Drosophila bocki	831	2014-01-02
AB669867	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: BG3146.1.	Drosophila lini	844	2014-01-02
AB669884	Drosophila fengkainensis Adh gene for alcohol dehydrogenase, partial cds, strain: const-MTK.	Drosophila fengkainensis	841	2014-01-02
AB669893	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN10 D225.	Drosophila truncata	830	2014-01-02
AH011593	Drosophila eugracilis strain 4026-0451.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila eugracilis	566	2016-04-08
KJ767241	Drosophila simulans strain 14021-0251.167 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila simulans	868	2014-10-29
LC057199	Drosophila trilutea Adh gene for alcohol dehydrogenase, partial cds, strain: VT05-ST.	Drosophila trilutea	831	2019-06-04
AB669842	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0712.00.	Drosophila greeni	830	2014-01-02
LC057198	Drosophila takahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0311.06.	Drosophila takahashii	830	2019-06-04
M17834	D.melanogaster (strain Fr-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2769	2006-11-14
M17837	D.melanogaster (strain Ja-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	7242	2006-11-14
M17831	D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	Drosophila melanogaster	2726	2006-11-14
AB669862	Drosophila diplacantha Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0586.00.	Drosophila diplacantha	829	2014-01-02
AB669885	Drosophila kanapiae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0541.00.	Drosophila kanapiae	838	2014-01-02
AF348882	Drosophila triauraria strain WWJ alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila triauraria	667	2006-11-14
AF348883	Drosophila quadraria strain NIG alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila quadraria	667	2006-11-14
CK131244	GH25181.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH25181 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.	Drosophila melanogaster	503	2003-12-03
AB194414	Drosophila parabipectinata osp, siren1, siren2, Adh, Adhr genes for hypothetical proteins, alcohol dehydrogenase, hypothetical protein, partial and complete cds.	Drosophila parabipectinata	17499	2006-02-27
CV850204	zaa68d07.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	193	2004-11-19
CV784997	zaa07e12.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	542	2004-11-12
CV043184	dba16c04.y1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 5' similar to SW:ADH_DROSI P07163 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila simulans	393	2004-08-24
CV528161	dba57a04.y1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 5' similar to SW:ADHX_DROME P46415 ALCOHOL DEHYDROGENASE CLASS III , mRNA sequence.	Drosophila simulans	384	2004-10-08
BG632098	GH03334.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH03334 3 similar to CG4796: FBan0004796 'alcohol dehydrogenase, iron-dependent' located on: 3R 86D6-86D7 : 04/10/2001, mRNA sequence.	Drosophila melanogaster	798	2003-12-03
BF486174	AT20387.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT20387 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	Drosophila melanogaster	816	2001-04-25
BI608471	RH13023.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH13023 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/16/2001, mRNA sequence.	Drosophila melanogaster	530	2001-09-10
